"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1.36826633906885e-39,3.42066584767212e-38,1.6407416852705,0.702119588268037,3.05718535956938,199,"RAN; YWHAQ; ILF2; HDGF; CBX3; TRA2B; SNRPG; SRPK1; PGK1; LDHA; HNRNPA2B1; MCM7; PSMB2; PSMD14; NCBP2; MCM2; PABPC4; GLO1; RANBP1; LSM2; CDC20; NME1; EPRS1; SMARCC1; STARD7; MCM4; SSB; COPS5; CAD; SRSF3; PSMD1; PABPC1; ODC1; DEK; HNRNPA3; HNRNPU; BUB3; PPM1G; H2AZ1; CCT3; DDX21; PCNA; SYNCRIP; PPIA; NOLC1; APEX1; RFC4; TRIM28; C1QBP; CCT4; IARS1; MCM6; PSMA6; PRPF31; TXNL4A; KPNA2; CCT2; UBA2; HNRNPR; HSPE1; NHP2; PCBP1; EIF4G2; SERBP1; SRM; GNL3; CNBP; NAP1L1; PSMD3; CTPS1; COX5A; SNRPA; TFDP1; PSMA7; RPLP0; CDC45; CYC1; USP1; HSPD1; SNRPD1; SNRPD2; SNRPD3; PSMB3; UBE2E1; KPNB1; CDK2; CUL1; IFRD1; SNRPB2; RPS2; G3BP1; EIF2S2; PHB2; SRSF1; CCT7; PSMC4; RAD23B; EIF4H; RPL22; CLNS1A; PSMA1; TUFM; PSMD8; TOMM70; PSMC6; XPO1; NOP56; PSMA4; CANX; NOP16; RNPS1; DHX15; MRPL9; YWHAE; PRDX4; HDAC2; GSPT1; HSP90AB1; CSTF2; XPOT; ACP1; TYMS; FBL; CCT5; EIF4A1; AIMP2; PSMD7; NDUFAB1; RRM1; NCBP1; VDAC1; RPS6; CDK4"
"HALLMARK_E2F_TARGETS",3.22338248757504e-40,1.61169124378752e-38,1.6533146023566,0.699690053499414,3.04836124819225,200,"STMN1; CDKN2A; RAN; TUBB; SNRPB; DDX39A; HMGA1; MYBL2; NCAPD2; RNASEH2A; LMNB1; KIF2C; RAD21; JPT1; MCM3; PRKDC; TRA2B; EZH2; SMC4; TOP2A; AK2; MKI67; UBE2T; CKS2; DNMT1; CDCA3; MCM7; MTHFD2; MCM2; TIMELESS; RANBP1; HELLS; PNN; CDC20; NME1; AURKA; CKS1B; MCM4; SPC24; UBE2S; AURKB; NUP107; DEK; GINS1; DCTPP1; POLE; H2AZ1; ATAD2; PLK1; CCNE1; MELK; PCNA; NASP; CCNB2; TACC3; SYNCRIP; CDK1; CENPM; DSCC1; NOLC1; TUBG1; RAD51AP1; TFRC; CDCA8; PTTG1; DCK; SMC1A; MCM6; PRIM2; TMPO; KPNA2; BUB1B; TBRG4; ILF3; CHEK1; NBN; ASF1B; NUP205; NAP1L1; KIF18B; CTPS1; DLGAP5; LBR; HMGB3; SSRP1; USP1; ESPL1; MSH2; TCF19; CDKN3; CSE1L; SRSF1; CDC25B; KIF22; TRIP13; WEE1; RACGAP1; XPO1; NOP56; POP7; RAD51C; HMGB2; BRCA2; CDKN1B; BRCA1; ASF1A; STAG1; PRDX4; GSPT1; NUP153; UNG; SMC3; RFC2; CBX5; POLD1; POLA2; ANP32E; CHEK2; NUDT21; CDK4; RFC3; DIAPH3; TK1; H2AX; DEPDC1; SPC25; EIF2S1; CIT; NAA38; IPO7; RPA3; RPA1; PPP1R8; HMMR"
"HALLMARK_G2M_CHECKPOINT",7.54850171976244e-34,1.25808361996041e-32,1.51610760180865,0.671493475691268,2.9189066517368,197,"STMN1; UBE2C; DDX39A; ATRX; HMGA1; MYBL2; MT2A; LMNB1; KIF2C; RAD21; E2F1; JPT1; MCM3; INCENP; TRA2B; NUSAP1; EZH2; SMC4; TOP2A; DTYMK; MKI67; CKS2; SLC38A1; TROAP; MCM2; NCL; CDC20; AURKA; SMARCC1; CKS1B; E2F3; BUB1; UBE2S; AURKB; CHAF1A; TTK; ODC1; CENPF; TOP1; HNRNPU; BUB3; POLE; H2AZ1; SFPQ; TPX2; PLK1; KIF11; NASP; CCNB2; PRC1; TACC3; UCK2; SYNCRIP; CDK1; NOLC1; KIF23; RAD54L; CDC6; PTTG1; NDC80; SMC1A; MCM6; PRIM2; FBXO5; TMPO; KPNA2; DR1; HSPA8; NUP98; TGFB1; ILF3; CHEK1; CENPA; SLC7A1; MNAT1; TFDP1; LBR; HMGB3; CDC7; CDC45; PRMT5; EXO1; SNRPD1; MTF2; ESPL1; ATF5; KPNB1; CUL1; NEK2; KIF5B; CDKN3; G3BP1; SRSF1; PML; CDC25B; RAD23B; SRSF10; KIF22; KNL1; RACGAP1; XPO1; MARCKS; BRCA2; STIL; CDKN1B; STAG1; SQLE; TRAIP; CCNF; GSPT1; E2F4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.11696379862385e-23,2.64620474827981e-22,1.25451347943706,0.603062826142797,2.62738242489614,200,"FN1; CTHRC1; ITGB1; BASP1; BGN; COL1A1; TNFRSF12A; IGFBP2; VCAN; SERPINE1; COL4A1; THY1; CALU; CCN1; NNMT; MEST; TGFBI; VEGFA; GADD45A; SPP1; TAGLN; COL5A2; LAMC1; EFEMP2; TPM4; THBS2; MCM7; MXRA5; COMP; TNC; SPARC; MMP14; COL3A1; CAPG; LOXL1; COL1A2; ITGA5; TPM2; FLNA; P3H1; HTRA1; DPYSL3; IGFBP3; CDH11; LGALS1; MMP2; PLAUR; FBN2; THBS1; INHBA; SDC1; DST; COL4A2; FBLN2; COL11A1; WIPF1; PTX3; TGFB1; GPC1; GPX7; FAP; IL32; ITGB5; FSTL1; ANPEP; PMEPA1; PLOD2; JUN; PLOD1; COPA; LUM; PCOLCE; LAMA1; LOX; TPM1; RHOB; GJA1; SERPINH1; COL6A2; CXCL1; CCN2; CADM1; LOXL2; ID2; SDC4; LRP1; GEM; PLOD3; FERMT2; COL12A1; COL5A1; CXCL8; MYL9; SLIT3; CXCL12; COL8A2; ELN; CDH6; FMOD; WNT5A; TNFAIP3; TIMP1; CAP2; AREG"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.52709265172685e-18,1.52709265172685e-17,1.11466447751729,0.573571770664073,2.49451930081596,198,"ISG15; PIM1; ADAR; STAT1; UBE2L6; MT2A; ICAM1; IFI30; EIF2AK2; EPSTI1; STAT2; MX1; CFH; HLA-B; IFI27; HLA-A; PSMB2; IFI44L; SOCS3; MTHFD2; BST2; IFI44; PNP; IRF9; PSMA3; IFIT1; SERPING1; OAS2; PNPT1; AUTS2; RSAD2; RNF213; IRF7; C1S; OAS3; CMPK2; NAMPT; PTPN2; SOD2; CFB; CMTR1; BPGM; LY6E; PTPN6; MX2; NCOA3; CXCL9; IFITM2; TNFSF10; PTPN1; ARID5B; DDX60; CCL2; PLSCR1; NLRC5; PSME2; PML; PELI1; VAMP8; RBCK1; WARS1; IRF4; CD40; PSMB8; ZNFX1; TRIM14; LGALS3BP; IFITM3; HELZ2; FPR1; C1R; NMI; CD69; TAPBP; MYD88; TNFAIP2; SECTM1; CASP8; IFIT3; HLA-DRB1; OASL; HLA-DQA1; TNFAIP3; CXCL11; SOCS1; PSME1; RTP4; RNF31; RIPK1; XAF1; TNFAIP6; VCAM1; IL4R; MARCHF1; LAP3; ZBP1; TOR1B; PARP14; IL10RA; IL6; CASP4; SAMD9L; SLC25A28; GCH1; IFI35; SLAMF7; PFKP; TAP1; TRIM26; IFIH1; IL18BP; CD86; STAT4; CD74; NUP93; STAT3"
"HALLMARK_MTORC1_SIGNALING",2.04206492154215e-15,1.70172076795179e-14,1.00731795687447,0.543498064522007,2.36372583388576,198,"ENO1; ACTR3; DDX39A; ACTR2; IFI30; CALR; GPI; PGK1; LDHA; SCD; GMPS; PNO1; M6PR; PSMD14; PSAT1; ALDOA; MTHFD2; MCM2; PNP; AURKA; EPRS1; MCM4; PSMA3; COPS5; BUB1; RAB1A; LGMN; ABCF2; PLK1; TBK1; SHMT2; PHGDH; PPIA; CACYBP; TUBG1; TFRC; BCAT1; NAMPT; SQSTM1; FADS2; HSPA9; PGM1; YKT6; HSPE1; SLC2A3; TPI1; NUP205; HSPA4; DHCR7; G6PD; HSPD1; PRDX1; PLOD2; ARPC5L; STIP1; TES; ASNS; IFRD1; SERPINH1; EIF2S2; PSMC4; WARS1; PDAP1; MLLT11; PSMD13; PSMC6; SLC2A1; PSMA4; CANX; SERP1; CXCR4; SQLE; CCNF; PSMG1; EBP; PSMC2; CTSC; UNG; SEC11A; SLA; PPA1; DDIT4; UCHL5; DDIT3; GLA; SDF2L1; PSMD12; PDK1; GSK3B; ERO1A; IDH1; RPA1; SLC7A5; RPN1; GOT1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",7.65002276448174e-11,4.2500126469343e-10,0.839088935621274,0.577517672845545,2.33011457202534,111,"EIF4G1; WIPI1; NABP1; CEBPB; CALR; FUS; VEGFA; EIF4EBP1; PDIA6; PSAT1; MTHFD2; NFYA; EIF4A3; CKS1B; HYOU1; IFIT1; SHC1; SRPRB; ALDH18A1; NOLC1; EXOC2; IARS1; PREB; HSPA9; NHP2; YWHAZ; TARS1; ASNS; KIF5B; CCL2; LSM1; LSM4; DCTN1; NOP56; PAIP1; YIF1A; NFYB; SERP1; PDIA5; CEBPG; XPOT; CNOT2; TUBB2A; SPCS1; EIF4A1; STC2; SEC11A; DKC1; CNOT6; DDIT4; GEMIN4; EXOSC5; SRPRA; EXOSC4; H2AX; ATF4; ERO1A; EIF2S1; POP4; SLC7A5; KHSRP; ATF3; BANF1"
"HALLMARK_MYC_TARGETS_V2",2.61644268591715e-08,1.00632410996813e-07,0.73376198835648,0.636614282665396,2.30324057089363,57,"CBX3; MCM4; DCTPP1; PLK1; NOLC1; BYSL; MPHOSPH10; MRTO4; TBRG4; HSPE1; SRM; GNL3; PPRC1; HSPD1; FARSA; IPO4; TFB2M; WDR43; NOP56; NOP16; PUS1; UTP20; MYBBP1A; SLC19A1; NOC4L; AIMP2; UNG; NOP2; WDR74; EXOSC5; CDK4; DDX18; SLC29A2; NDUFAF4; SUPV3L1; TMEM97; IMP4; DUSP2; LAS1L"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.38625766505848e-10,3.69312883252924e-09,0.801215574617779,0.577491666756312,2.28387017072274,97,"ISG15; ADAR; UBE2L6; IFI30; EIF2AK2; EPSTI1; STAT2; MX1; IFI27; IFI44L; BST2; IFI44; OAS1; IRF9; PSMA3; CD47; PNPT1; RSAD2; IFITM1; IRF7; C1S; CMPK2; CMTR1; LY6E; IFITM2; LAMP3; DDX60; HLA-C; PLSCR1; PSME2; NCOA7; WARS1; PSMB8; MOV10; TRIM14; LGALS3BP; IFITM3; HELZ2; NMI; MVB12A; CASP8; IFIT3; OASL; CXCL11; NUB1; PSME1; RTP4; RNF31; SAMD9; IL4R; LAP3; PARP14; CNP; SAMD9L; SLC25A28; IFI35; TAP1; TRIM26; IFIH1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.5286763530846e-13,1.80619739506043e-12,0.932595211336209,0.51990916087222,2.26113540240174,198,"SERPINE1; CCN1; ICAM1; CEBPB; B4GALT5; FOSL2; PLAU; VEGFA; GADD45A; TNC; TRIB1; SOCS3; DUSP5; CCNL1; PLAUR; IER3; INHBA; SIK1; TNIP2; NAMPT; SQSTM1; MXD1; SOD2; PTX3; SLC2A3; KLF6; MCL1; PMEPA1; KDM6B; PHLDA1; TNF; JUN; PLK2; YRDC; CCL2; RHOB; TGIF1; JUNB; ACKR3; SGK1; CXCL1; PTPRE; IER2; HES1; EHD1; ID2; MARCKS; SDC4; GEM; MAP3K8; PDLIM5; GPR183; OLR1; TUBB2A; CD69; REL; TNFAIP2; LIF; CLCF1; TNFAIP3; DENND5A; KYNU; CXCL11; AREG; PLEK; SPHK1; RELB; ZBTB10; SNN; FJX1; BCL3; FOS; MSC; HBEGF; TNFAIP6; RCAN1; NFKBIE; TRIP10; ATF3; TNFRSF9; EGR1; DUSP1; GFPT2; IL6; CCL20; ATP2B1; GCH1; PLPP3; EDN1; DUSP2; BCL6; TAP1; IFIH1; ZFP36; GADD45B; NR4A3; DUSP4; BMP2; BCL2A1; NFIL3; SPSB1; DRAM1; ETS2; SERPINB2; PDE4B; RELA; BIRC2; B4GALT1; NINJ1; LDLR; NFKBIA; RNF19B; CXCL3; BHLHE40; EGR2; TLR2"
"HALLMARK_MITOTIC_SPINDLE",8.38533952429813e-13,5.24083720268633e-12,0.921426003494898,0.514721014106232,2.23857164856106,198,"ANLN; ECT2; LMNB1; MYO9B; KIF2C; INCENP; NUSAP1; SMC4; TOP2A; TRIO; DLG1; DYNC1H1; AURKA; VCL; BUB1; FSCN1; TTK; CENPF; ARHGAP4; CLASP1; TPX2; PLEKHG2; FLNA; PLK1; KIF11; BCL2L11; CCNB2; PRC1; STK38L; SOS1; CDK1; RASA2; KIF23; DST; NDC80; KIF3C; SMC1A; FBXO5; EPB41; SEPTIN9; RHOF; MAPRE1; MYH9; ARHGEF2; CCDC88A; KIF1B; PREX1; DLGAP5; ARHGEF11; RAB3GAP1; ABI1; LLGL1; ESPL1; CKAP5; PCNT; NEK2; KIF5B; NF1; KPTN; KNTC1; KIF22; RANBP9; RACGAP1; RALBP1; MARCKS; BRCA2; FARP1; EZR; CLIP2; YWHAE; PDLIM5; MYH10; CYTH2; CAPZB; NCK1; CSNK1D; CTTN; NET1; SASS6; SMC3; ARHGAP27"
"HALLMARK_TGF_BETA_SIGNALING",3.41505098830932e-07,1.10711210376915e-06,0.674962860011025,0.622545270862684,2.2275335718707,54,"SKIL; SERPINE1; SLC20A1; SKI; CTNNB1; SMAD7; BMPR2; WWTR1; FKBP1A; LTBP2; MAP3K7; THBS1; PPP1CA; TRIM33; TGFB1; RAB31; PMEPA1; SMAD6; BCAR3; TGIF1; JUNB; ID2; TGFBR1; ACVR1; ID1"
"HALLMARK_ALLOGRAFT_REJECTION",8.97793066078122e-09,4.08087757308237e-08,0.747739663149885,0.458455873754342,1.9962191750094,199,"CDKN2A; STAT1; THY1; ICAM1; HLA-A; DEGS1; CAPG; NME1; LTB; CD47; FLNA; HCLS1; EIF5A; MAP3K7; HLA-E; INHBA; CSK; IRF7; GZMB; BCAT1; TGFB1; PTPN6; CXCL9; EIF3A; ETS1; ABI1; TNF; SRGN; FYB1; RPS19; CCL2; DARS1; RPL39; MMP9; WARS1; IRF4; CD40; SPI1; GALNT1; MRPL3; BRCA1; HLA-DMB; GCNT1; AKT1; PTPRC; TPD52; CD8B; STAB1; TAPBP; NCK1; LIF; IFNGR1; CCL19; C2; BCL10; HLA-DQA1; TIMP1; MTIF2; FGR; CXCL13; SOCS1; EIF4G3; BCL3; CD79A; IL4R; ELF4; PRF1; CD7; CD3E; TRAF2; IL6; TGFB2; ITGB2; NCF4; PRKCB; RARS1; CD4; TAP1; SOCS5; ITGAL; CD86; IL27RA; F2R; LYN; STAT4; CD74; RPS9; WAS; TRAT1; AARS1; FCGR2B; UBE2D1; ACVR2A; CCR2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",4.8458712443384e-06,1.15377886769962e-05,0.610526878385931,0.512485234117479,1.99257968249679,87,"PIM1; TNFRSF12A; STAT1; GRB2; STAT2; TNFRSF21; SOCS3; IRF9; LTB; PTPN2; EBI3; TGFB1; TYK2; CXCL9; PTPN1; TNF; JUN; HAX1; LTBR; CXCL1; MAP3K8; BAK1; MYD88; ITGA4; IFNGR1; OSMR; CXCL11; CXCL13; SOCS1; ACVR1B; IL13RA1; CBL; IL4R; CD14; PIK3R5; HMOX1; CD9; IL6"
"HALLMARK_UV_RESPONSE_UP",9.98196717345412e-08,3.56498827623362e-07,0.704975715167238,0.468287399019311,1.9787549222805,157,"IGFBP2; ICAM1; AP2S1; ALDOA; PPT1; KLHDC3; MMP14; PRKACA; CLTB; GRINA; FEN1; HNRNPU; DDX21; CCNE1; BCL2L11; UROD; NPTX2; TFRC; RFC4; ATP6V1F; SQSTM1; SOD2; GGH; YKT6; BID; HSPA13; TARS1; FGF18; PSMC3; PPP1R2; STIP1; CDK2; GLS; ASNS; WIZ; DNAJA1; RHOB; HLA-F; AGO2; CREG1; JUNB; PDAP1; GPX3; PPIF; EPCAM; CLCN2; CDC34; PARP2; E2F5; CDKN2B; CEBPG; ALAS1; SIGMAR1; BAK1; MARK2; CDKN1C; H2AX; NUP58; PPAT; POLR2H; FOS; RPN1; DLG4; ARRB2; ATF3; COL2A1; PDLIM3; CA2; PRKCD; LHX2; HYAL2; HMOX1; IL6; CNP"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.51906780092237e-08,1.00632410996813e-07,0.73376198835648,0.451776756276376,1.96713680711984,199,"ATP5MG; CYCS; GPI; LDHB; ATP5MF; NDUFS6; LDHA; MRPS15; ATP5MC2; ATP6V0B; TIMM17A; COX6A1; TIMM10; MDH2; HSD17B10; NDUFV2; OPA1; ATP6V1F; ATP5ME; HSPA9; SLC25A5; FH; ATP5F1E; UQCRC1; MRPL34; MRPL11; TIMM8B; COX5A; IDH3B; NDUFB6; NDUFS8; COX5B; CYC1; COX7A2; PDHX; GPX4; COX8A; ATP6V1G1; MRPL15; ATP6AP1; ATP5MC3; NNT; IDH2; PHB2; NDUFS3; ATP5PD; ATP5F1B; MTX2; ATP6V1H; UQCRQ; TOMM70; ATP5F1C; MRPS22; VDAC2; ATP5PO; NDUFA7; ALAS1; TIMM50; MRPS12; NDUFB3; SDHB; PDHA1; MDH1; UQCRFS1; POR; COX6C; NDUFAB1; VDAC1; COX7B; OAT; ACAA2; TOMM22; COX6B1; DLST; NDUFV1; IDH1; HTRA2; TCIRG1; ATP1B1; CS; NDUFB4; SUPV3L1; NDUFB2; COX17; ACADM; DECR1; PHYH; PRDX3; NDUFA9; VDAC3; AFG3L2; SLC25A11; COX7A2L; SDHC; SLC25A12"
"HALLMARK_APOPTOSIS",1.30097600489098e-06,3.82640001438523e-06,0.643551836150722,0.446760163099716,1.89623409722445,161,"BGN; PEA15; TNFRSF12A; GPX1; SLC20A1; EMP1; TOP2A; GADD45A; PPP3R1; IGF2R; PPT1; CTNNB1; SMAD7; PTK2; DAP3; BCL2L11; MMP2; IER3; SQSTM1; BMF; SOD2; BID; MCL1; TIMP2; TNFSF10; TNF; JUN; GPX4; CDK2; LUM; DNAJA1; RHOB; CDC25B; WEE1; GPX3; PDCD4; BCL2L1; HMGB2; VDAC2; CDKN1B; IFITM3; BRCA1; APP; EBP; PAK1; LEF1; ANKH; CD69; ERBB3; IFNGR1; CASP8; CASP6; DFFA; BCL10; TIMP1; DDIT3"
"HALLMARK_DNA_REPAIR",2.31971644653313e-06,6.10451696456088e-06,0.627256739718528,0.45054200773893,1.88990540557506,148,"ZWINT; POLR2K; SEC61A1; ADRM1; NCBP2; PNP; NME1; FEN1; POLR2J; HCLS1; PCNA; NELFCD; ITPA; ALYREF; RFC4; CMPK2; TAF13; SF3A3; RBX1; POLR2G; ERCC2; SSRP1; ADA; GPX4; RALA; PRIM1; RNMT; CSTF3; TAF10; POLD4; POLR3C; GTF2A2; VPS37B; TYMS; VPS28; NME4; RFC5; SUPT4H1; GUK1; RFC2; ERCC3; POLB; POLD1; TARBP2; POLA2; NUDT21; SAC3D1; DGUOK; RFC3; NELFB; DDB1; ARL6IP1; BCAM; RPA3; RAE1; POLR2H; POLR1H; BCAP31; UMPS; DAD1; TMED2; COX17; SNAPC5; POLR2A; HPRT1; CANT1; AAAS; ERCC1; POLE4; GTF3C5; STX3"
